"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"860791","A02. Doprava","A02a. Železniční (osobní i nákladní)","Díly a vybavení","LSE Navigator","IN","0.0500","Y","0.0500","Části,součásti ostatní lokomotiv,lokotraktorů","Railway or tramway locomotives: parts n.e.c. in heading no. 8607","","","","","0","","","","","","","","","",""
"860699","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vagóny nákladní ost.bez pohonu","Railway or tramway goods vans and wagons: n.e.c. in heading no. 8606, not self-propelled","","","","","0","","","","","","","","","",""
"850231","A04. Výroba nízkoemisní elektřiny a paliv","A04a. Větrná","Komponenty pro větrnou energetiku","LSE Navigator","IN","0.0580","Y","0.0580","Elektrická generátorová soustrojí, poháněná v","Electric generating sets: wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","Ano","","","","1","","","","","","","","","",""
"901380","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","LSE Navigator","IN","0.1200","Y","0.1200","Přístroje,nástroje optické ostatní,jn","Optical devices, appliances and instruments: n.e.c. in heading no. 9013","","","","","1","","","","","","","","","",""
"840110","A04. Výroba nízkoemisní elektřiny a paliv","A04f. Jádro","Komponenty pro jadernou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","","N","0.0400","Reaktory jaderné","Nuclear reactors","","","","","1","","","","","","","","","",""
"850680","A05. Ukládání energie","A05a. Baterie","Baterie","LSE Navigator","IN","","N","0.0400","Ostatní galvanické články a baterie","Cells and batteries: primary, (other than manganese dioxide, mercuric oxide, silver oxide, lithium or air-zinc)","Ano","https://www.iisd.org/system/files/publications/code-shift-2022-harmonized-system.pdf
https://www.cybex.in/hs-codes/primary-cells-batteries-heading-8506.aspx#:~:text=HS%20Code%208506%20%7C%20Harmonized%20System%20Code%20Of%20PRIMARY%20CELLS%20AND%20PRIMARY%20BATTERIES","","","1","","","","","","","","","",""
"392030","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Desky ap z polymerů styrenu,nevyztuž,nekombin","Plastics: of polymers of styrene, plates, sheets, film, foil and strip (not self-adhesive), non-cellular and not reinforced, laminated, supported or similarly combined with other materials","","","","","0","","","","","","","","","",""
"860712","A02. Doprava","A02a. Železniční (osobní i nákladní)","Díly a vybavení","LSE Navigator","IN","0.0500","Y","0.0500","Podvozky(ne hnací),Biesselovy žel.aj vozidel","Railway or tramway locomotives or rolling stock: parts, bogies and bissel-bogies (excluding driving bogies and bissel-bogies)","","","","","0","","","","","","","","","",""
"700800","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Jednotky izolační z několika tabulí skla","Glass: multiple-walled insulating units of glass","","","","","1","","","","","","","","","",""
"900290","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","LSE Navigator","IN","0.1200","Y","0.1200","Hranoly,zrcadla aj články optické,zasazené","Optical elements: n.e.c. in heading no. 9002 (e.g. prisms and mirrors), mounted, being parts or fittings for instruments or apparatus, of any material (excluding elements of glass not optically worked)","","","","","1","","","","","","","","","",""
