,HS6,OD,DO,POPIS
2969,551120,2017-01-01,2999-12-31,"Příze,do 85% vlákna střiž.syntet,pro prodej"
2970,551130,2017-01-01,2999-12-31,"Příze z vláken střižových umělých,pro prodej"
2971,551211,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.polyest,neb,běl."
2972,551219,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.polyesterová,ost"
2973,551221,2017-01-01,2999-12-31,"Tkaniny,nad 85% vl.střiž.akryl,modakr,neb,běl"
2974,551229,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.akryl,modakr,ost"
2975,551291,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.synt.ost,neb,běl"
2976,551299,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.syntetická,ost."
2977,551311,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,plát.v,neb,bě,do 170g"
2978,551312,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,v.kepr,neb,bě,do 170g"
2979,551313,2017-01-01,2999-12-31,"Tkaniny,polyes.do 85%,bavl,neběl,běl,do 170g"
2980,551319,2017-01-01,2999-12-31,"Tkan,vl.synt.ost.do 85%,bavl,neb,běl,do 170g"
2981,551321,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,plát.vaz,barv,do 170g"
2982,551323,2017-01-01,2999-12-31,"Tkaniny,polyester do 85%,bavl,barvené,do 170g"
2983,551329,2017-01-01,2999-12-31,"Tkan,vlákna synt.ost.do 85%,bavl,barv,do 170g"
2984,551331,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,plát.vaz,růzb,do 170g"
2985,551339,2017-01-01,2999-12-31,"Tkan,vlákna synt.ost.do 85%,bavl,růzb,do 170g"
2986,551341,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,plát.v,potisk,do 170g"
2987,551349,2017-01-01,2999-12-31,"Tkan,vlák.synt.ost.do 85%,bavl,potisk,do 170g"
2988,551411,2017-01-01,2999-12-31,"Tk,polyes.do 85%,bavl,plát.v,neb,běl,nad 170g"
2989,551412,2017-01-01,2999-12-31,"Tk,polyes.do 85%,bavl,v.kepr,neb,běl,nad 170g"
2990,551419,2017-01-01,2999-12-31,"Tkan,vl.synt.ost.do 85%,bavl,neb,běl,nad 170g"
2991,551421,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,plát.v,barv,nad 170g"
2992,551422,2017-01-01,2999-12-31,"Tkan,polyes.do 85%,bavl,v.kepr,barv,nad 170g"
2993,551423,2017-01-01,2999-12-31,"Tkaniny,polyester do 85%,bavlna,barv,nad 170g"
2994,551429,2017-01-01,2999-12-31,"Tkan,vlák.synt.ost.do 85%,bavl,barv,nad 170g"
2995,551430,2017-01-01,2999-12-31,"Tkan,vlák.synt,do 85%,bavl,z různobarev.nití,nad170g"
2996,551441,2017-01-01,2999-12-31,"Tk,polyes.do 85%,bavl,plát.v,potisk,nad 170g"
2997,551442,2017-01-01,2999-12-31,"Tk,polyes.do 85%,bavl,v.kepr,potisk,nad 170g"
2998,551443,2017-01-01,2999-12-31,"Tkaniny,polyester do 85%,bavl,potisk,nad 170g"
2999,551449,2017-01-01,2999-12-31,"Tkan,vl.synt.ost.do 85%,bavl,potisk,nad 170g"
3000,551511,2017-01-01,2999-12-31,Tkaniny polyesterové s vláknem viskózovým
3001,551512,2017-01-01,2999-12-31,Tkaniny polyesterové s hedvábím chemickým
3002,551513,2017-01-01,2999-12-31,"Tkaniny polyesterové s vlnou,zvířecími chlupy"
3003,551519,2017-01-01,2999-12-31,Tkaniny polyesterové ostatní
3004,551521,2017-01-01,2999-12-31,"Tkaniny akrylové,modakrylové s hedvábím chem."
3005,551522,2017-01-01,2999-12-31,"Tkaniny akrylové,modakryl.s vlnou,zvíř.chlupy"
3006,551529,2017-01-01,2999-12-31,"Tkaniny akrylové,modakrylové ostatní"
3007,551591,2017-01-01,2999-12-31,Tkaniny z vláken syntet.ost.s hedvábím chem.
3008,551599,2017-01-01,2999-12-31,Tkaniny z vláken syntetických ostatní
3009,551611,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.umělá,neběl,běl"
3010,551612,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střižová umělá,barvené"
3011,551613,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.umělá,růzb.příze"
3012,551614,2017-01-01,2999-12-31,"Tkaniny,nad 85% vlákna střiž.umělá,potisknuté"
3013,551621,2017-01-01,2999-12-31,"Tkan,vlákna střiž.um.do 85%,hedv.chem,neb,běl"
3014,551622,2017-01-01,2999-12-31,"Tkan,vlákna střiž.um.do 85%,hedv.chem,barvené"
3015,551623,2017-01-01,2999-12-31,"Tkan,vlákna střiž.um.do 85%,hedv.chem,růzbar."
3016,551624,2017-01-01,2999-12-31,"Tkan,vlákna střiž.um.do 85%,hedv.chem,potisk."
3017,551631,2017-01-01,2999-12-31,"Tkaniny,vlákna střiž.um.do 85%,vlna,neběl,běl"
3018,551632,2017-01-01,2999-12-31,"Tkaniny,vlákna střiž.um.do 85%,vlna,barvené"
