HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
902789,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístroje a zařízení pro fyzikální nebo<br>chemické rozbory, přístroje a zařízení na<br>měření nebo kontrolu viskozity, pórovi","Analysis instruments: Viscosity, porosity, exposure meters",#ffe119,#E6FB47
902790,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Mikrotomy,části přístrojů pro rozbory,měření","Microtomes, parts of scientific analysis equipment",#ffe119,#E6FB47
902810,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Plynoměry,Gas supply/production/calibration meters,#ffe119,#E6FB47
902820,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Měřiče kapalin,"Liquid supply, production and calibrating meters",#ffe119,#E6FB47
902830,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Elektroměry,"Electricity supply, production and calibrating meters",#ffe119,#E6FB47
902890,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Části plynoměrů,měřičů kapalin,elektroměrů","Parts, accessories for gas, liquid, electricity meter",#ffe119,#E6FB47
903010,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Příst.k měření,zjišťování ionizujícího záření",Instruments to measure or detect ionising radiations,#ffe119,#FFFF00
903020,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Osciloskopy,oscilografy","Cathode-ray oscilloscopes, oscillographs",#ffe119,#FFFF00
903031,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (napětí ap) víceúčelové,bez registr.zařízení",Electrical multimeters,#ffe119,#FFFF00
903032,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (napětí ap) víceúčelové,s registr.zařízením","Multimeters: for measuring or checking voltage, current, resistance or power, with a recording device",#ffe119,#FFFF00
903033,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (napětí ap) ost,bez registr.zařízení","Instruments and apparatus: for measuring or checking voltage, current, resistance or power, without a recording device (excluding multimeters)",#ffe119,#FFFF00
903039,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (napětí ap) ost,s registr.zařízením","Ammeters, voltmeters, ohm meters, etc, non-recording",#ffe119,#FFFF00
903040,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,Přístroje měřicí určené pro sdělovací techniku,"Gain, /distortion and crosstalk meters, etc",#ffe119,#FFFF00
903082,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,Přístroje pro měření polovodičových destiček,Semiconductor Inspection Tools,#ffe119,#FFFF00
903084,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (el.veličiny,záření) ost,s registr.zařízením","Instruments and apparatus: n.e.c. in heading no. 9030, with a recording device",#ffe119,#FFFF00
903089,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Přístroje měřicí (el.veličiny,záření) ost,bez registr.zařízení",Electrical measurement instruments nes,#ffe119,#FFFF00
903090,Měřící a diagnostické přístroje; Monitoring,Osciloskopy,Osciloskopy,IN,"Části přístrojů měřicích (el.veličiny,záření)","Parts & accessories, electrical measuring instruments",#ffe119,#FFFF00
903120,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Zařízení zkušební,Test benches for measuring or checking equipment,#ffe119,#E6FB47
903141,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Přístroje pro kontrolu polovodičových zaříze,Optical Tools for Semiconductor & Photomask Inspection,#ffe119,#E6FB47
903149,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Ostatní přístroje pro měření a kontrolu<br>el.za,Miscellaneous Optical Measurement Tools,#ffe119,#E6FB47
903180,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Přístroje,nástroje měřící,kontrolní ost,jn","Measuring or checking equipment, nes",#ffe119,#E6FB47
903190,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,"Části přístrojů měřících,kontrolních,jn","Parts and access for measuring, checking equipment ne",#ffe119,#E6FB47
903210,Měřící a diagnostické přístroje; Monitoring,Termostaty,Termostaty,IN,Termostaty,Thermostats,#ffe119,#F0E68C
903220,Měřící a diagnostické přístroje; Monitoring,Termostaty,Termostaty,IN,Manostaty(presostaty),Manostats,#ffe119,#F0E68C
